ticket_id,category,priority_level,description,resolution
INC001,Email Issue,L1,"User unable to send emails via Outlook.","Checked SMTP settings and reauthenticated the user account."
INC002,Password Reset,L1,"User forgot system password.","Reset the password and confirmed successful login."
INC003,Printer Not Working,L1,"Printer in HR department not responding.","Restarted the printer service and updated the printer driver."
INC004,VPN Connection Failed,L2,"Remote user unable to connect via VPN.","Diagnosed SSL VPN gateway issue and updated the client configuration."
INC005,Application Crash,L2,"Finance application crashes when loading reports.","Analyzed logs, found memory leak, and applied patch version 2.3.1."
INC006,Network Slow,L2,"Users report slow internet across multiple departments.","Checked network traffic and optimized router QoS settings."
INC007,Software Installation,L1,"User requested installation of MS Teams.","Installed MS Teams using approved company installer."
INC008,Email Spam,L2,"Multiple users receiving phishing emails.","Updated spam filters and blocked malicious IP addresses."
INC009,System Access Request,L1,"New employee requests access to HR portal.","Created HR portal user account and assigned appropriate role."
INC010,Database Error,L2,"Application throws database connection timeout errors.","Restarted DB service and increased connection pool size."
INC011,Outlook Sync Issue,L1,"Calendar events not syncing on mobile device.","Removed and re-added the Exchange account, issue resolved."
INC012,Antivirus Alert,L2,"Security system detected Trojan on user device.","Isolated system, removed malware, and updated antivirus definitions."
INC013,File Sharing Error,L1,"Unable to upload files to shared drive.","Checked folder permissions and re-enabled access rights."
INC014,WiFi Authentication Failed,L1,"User cannot connect to corporate WiFi.","Reset WiFi password and updated saved credentials."
INC015,Application Login Failed,L2,"Users cannot log in to ERP system.","Checked authentication service, restarted SSO, and verified access."
INC016,Email Delivery Delay,L2,"Emails taking too long to deliver to clients.","Reconfigured mail queue and purged pending outbound messages."
INC017,Monitor Display Issue,L1,"User’s monitor screen flickers intermittently.","Replaced HDMI cable and updated graphics driver."
INC018,Backup Job Failed,L2,"Nightly database backup failed due to space shortage.","Cleared old backups and increased disk quota."
INC019,Account Lockout,L1,"User account locked after multiple failed attempts.","Unlocked account and advised on password reset policy."
INC020,+Reconnected printer to network and updated driver mapping."

